b'Car Model',b'Price'
b'2020 Ram 1500 Sport/Rebel',"b'$69,241.00'"
b'2021 Ram 1500 Rebel',"b'$75,629.00'"
b'2020 Ram 1500 Rebel Crew Cab',"b'$70,384.00'"
b'2020 Ram 1500 Rebel  Sport - Crew Cab  - $313 B/W',"b'$64,874.00'"
b'2021 Ram 1500 Rebel Crew Cab',"b'$75,809.00'"
b'2020 Ram 1500 Rebel   Diesel - $351 B/W',"b'$72,284.00'"
b'2020 Ram 1500 Rebel  -  Android Auto -  Apple CarPlay - $345 B/W',"b'$70,614.00'"
b'2020 Ram 1500 Rebel  -  Android Auto -  Apple CarPlay - $358 B/W',"b'$73,419.00'"
b'2020 Ram 1500 Rebel Quad Cab',"b'$69,019.00'"
b'2020 Ram 1500 Rebel  -  Android Auto -  Apple CarPlay - $346 B/W',"b'$70,864.00'"
b'2018 GMC Yukon Denali',"b'$55,998.00'"
b'2020 Gmc Yukon SLE',"b'$54,885.00'"
b'2020 GMC Yukon XL Denali  - Sunroof - Navigation',"b'$85,171.00'"
b'2020 Gmc Yukon XL Denali',"b'$84,244.00'"
b'2016 GMC Yukon Denali XL',"b'$41,000.00'"
b'2016 Honda Odyssey Touring | NAVI | LEATHER | SUNROOF |',"b'$25,448.00'"
b'2017 Honda Civic Hatchback Sport Sunroof Backup Camera Bluetooth',"b'$18,817.00'"
b'2012 Honda Civic 4dr Auto LX',"b'$8,999.00'"
b'2012 Honda Civic Coupe 2dr Auto LX',"b'$7,599.00'"
b'2020 Honda Civic Lease Car take over @ $182.87 bi-weekly',b'Please Contact'
b'2019 Honda Civic Si Sedan   - Si Performance -  Navigation - $17',"b'$27,695.00'"
b'Honda civic 2009',"b'$1,999.00'"
b'2006 Honda Civic EX SOLD AS IS',b'$800.00'
b'SAFETIED 2006 Honda Civic',"b'$3,950.00'"
b'2010 Honda Civic',"b'$4,200.00'"
b'2007 Honda Civic must go now',"b'$3,500.00'"
b'Honda Civic 2012 Coupe',"b'$12,000.00'"
b'Honda Civic',"b'$1,500.00'"
b'2006 Honda Civic Coupe',"b'$1,500.00'"
b'*SAFETIED* 2007 Honda Civic EX $4699.',"b'$4,699.00'"
b'Honda civic lx sport',"b'$2,800.00'"
b'2018 Honda Civic LX lease transfer',b'Please Contact'
b'Acura / Honda etc .',b'$300.00'
b'03 civic',"b'$1,250.00'"
b'Honda Civic SiR full car or part out',"b'$1,900.00'"
b'Honda Civic 2002',"b'$1,200.00'"
b'2018 Honda Civic LX',"b'$18,000.00'"
b'Honda Civic LX-G original owner - super clean',"b'$1,099.00'"
b'2010 Honda civic se',"b'$6,600.00'"
b'2012 Honda civic SAFETY TESTED!!',"b'$7,490.00'"
b'2009 Honda Civic EX Coupe',"b'$3,200.00'"
b'2004 Honda Civic for sale',"b'$1,900.00'"
b'2007 HONDA CIVIC EN TR\xc3\x88S BONNE CONDITION',"b'$6,500.00'"
b'2003 honda civic safetied',"b'$3,300.00'"
b'Honda Civic 2007',"b'$4,700.00'"
b'2018 Honda Civic Sedan LX 6MT',"b'$15,910.00'"
b'2020 Honda Civic LX',b'Please Contact'
b'Honda Civic Coupe 2011',"b'$6,000.00'"
b'2007 Honda Civic',"b'$3,200.00'"
b'2005 Honda Civic',"b'$2,400.00'"
b'2004 Honda Civic Sedan LX 5MT',b'Please Contact'
b'2013 Honda Civic Sdn Touring',"b'$9,995.00'"
b'2006 Honda Civic Si',"b'$5,000.00'"
b'2010 Honda Civic LX SR',"b'$6,888.00'"
b'2015 Honda Civic Sedan LX',"b'$11,900.00'"
b'2018 Honda Civic Sedan LX',"b'$17,277.00'"
b'2017 Honda Civic Sedan LX',"b'$14,377.00'"
b'2019 Honda Civic Sedan LX',"b'$19,377.00'"
b'2019 Honda Civic Hatchback Sport Touring - Navigation - Leather',"b'$28,900.00'"
b'2015 Honda Civic Sedan Touring ** HAIL DAMAGED **',"b'$12,000.00'"
b'2016 Honda CR-V EX | SUNROOF | BACKUP CAMERA | PUSH BUTTON START',"b'$20,931.00'"
b'2017 Honda Civic Sedan LX CVT',"b'$16,310.00'"
b'2020 Honda Civic Sedan Sport',"b'$24,888.00'"
b'Ottawa junk car removal',b'Please Contact'
b'2018 Honda Civic Sedan LX -  Bluetooth - Rear Camera - Heated Se',"b'$18,500.00'"
b'2017 Honda CR-V LX | BACKUP CAMERA | KEYLESS ENTRY | POWER WINDO',"b'$23,469.00'"
